;action_menee;action_representation_interet_id;action_menee_autre
0;Organiser des discussions informelles ou des réunions en tête-à-tête;0;
1;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;0;
2;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;0;
3;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;1;
4;Organiser des discussions informelles ou des réunions en tête-à-tête;2;
5;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;2;
6;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;2;
7;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;2;
8;Etablir une correspondance régulière (par courriel, par courrier…);2;
9;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;2;
10;Organiser des discussions informelles ou des réunions en tête-à-tête;3;
11;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;3;
12;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;3;
13;Organiser des auditions, des consultations formelles sur des actes législatifs ou d'autres consultations ouvertes;3;
14;Etablir une correspondance régulière (par courriel, par courrier…);3;
15;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;3;
16;Organiser des discussions informelles ou des réunions en tête-à-tête;4;
17;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;4;
18;Organiser des débats publics, des marches, des stratégies d'influence sur internet;4;
19;Envoyer des pétitions, lettres ouvertes, tracts;4;
20;Etablir une correspondance régulière (par courriel, par courrier…);4;
21;Organiser des discussions informelles ou des réunions en tête-à-tête;5;
22;Envoyer des pétitions, lettres ouvertes, tracts;5;
23;Etablir une correspondance régulière (par courriel, par courrier…);5;
24;Organiser des discussions informelles ou des réunions en tête-à-tête;6;
25;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;6;
26;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;6;
27;Organiser des débats publics, des marches, des stratégies d'influence sur internet;6;
28;Envoyer des pétitions, lettres ouvertes, tracts;6;
29;Etablir une correspondance régulière (par courriel, par courrier…);6;
30;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;6;
31;Organiser des discussions informelles ou des réunions en tête-à-tête;7;
32;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;7;
33;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;7;
34;Organiser des débats publics, des marches, des stratégies d'influence sur internet;7;
35;Envoyer des pétitions, lettres ouvertes, tracts;7;
36;Etablir une correspondance régulière (par courriel, par courrier…);7;
37;Inviter ou organiser des évènements, des rencontres ou des activités promotionnelles;7;
38;Organiser des discussions informelles ou des réunions en tête-à-tête;8;
39;Transmettre aux décideurs publics des informations, expertises dans un objectif de conviction;8;
40;Transmettre des suggestions afin d'influencer la rédaction d'une décision publique;8;
41;Organiser des débats publics, des marches, des stratégies d'influence sur internet;8;
