;action_representation_interet_id;responsable_public;departement_ministeriel;responsable_public_ou_dpt_ministeriel_autre
0;0;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
1;0;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
2;0;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
3;0;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé, Economie et finances;;
4;1;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
5;1;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
6;2;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
7;2;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
8;2;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
9;3;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
10;3;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
11;3;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
12;4;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
13;4;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
14;4;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
15;4;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
16;4;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Environnement, énergie et mer;;
17;5;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Mairie de Paris et Élu-es de Paris
18;5;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Mairie de Paris et Élu-es de Paris
19;6;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
20;6;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
21;6;Membre du Gouvernement ou membre de cabinet ministériel; Intérieur;
22;6;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
23;6;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
24;6;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Intérieur, Environnement, énergie et mer;;
25;7;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Mairie de Paris et élu-es de Paris
26;7;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Mairie de Paris et élu-es de Paris
27;8;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Mairie de Paris et élu-es de Paris
28;8;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Mairie de Paris et élu-es de Paris
29;9;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
30;9;Membre du Gouvernement ou membre de cabinet ministériel; Culture et communication;
31;9;Membre du Gouvernement ou membre de cabinet ministériel; Intérieur;
32;9;Membre du Gouvernement ou membre de cabinet ministériel; Environnement;
33;9;Membre du Gouvernement ou membre de cabinet ministériel; énergie et mer;
34;9;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Culture et communication, Intérieur, Environnement, énergie et mer;;
35;10;Membre du Gouvernement ou membre de cabinet ministériel;Défense;Maire de Paris et élu-es de Paris
36;10;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Maire de Paris et élu-es de Paris
37;10;Membre du Gouvernement ou membre de cabinet ministériel - Défense, Autres : à préciser;;Maire de Paris et élu-es de Paris
38;11;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
39;11;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
40;14;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
41;14;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
42;14;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales;;
43;15;Membre du Gouvernement ou membre de cabinet ministériel;Intérieur;
44;15;Membre du Gouvernement ou membre de cabinet ministériel - Intérieur;;
45;16;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
46;16;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
47;16;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales;;
48;17;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
49;17;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
50;17;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales;;
51;18;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
52;18;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
53;18;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales;;
54;19;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
55;19;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
56;19;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales;;
57;20;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
58;20;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
59;20;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales;;
60;21;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Secrétariat d'Etat en charge du numérique
61;21;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Secrétariat d'Etat en charge du numérique
62;22;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Secrétariat d'Etat au numérique
63;22;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Secrétariat d'Etat au numérique
64;23;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;Politique de la ville
65;23;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;Politique de la ville
66;23;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Politique de la ville
67;23;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales, Autres : à préciser;;Politique de la ville
68;24;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
69;24;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
70;24;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales;;
71;25;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
72;25;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
73;26;Membre du Gouvernement ou membre de cabinet ministériel;Aménagement du territoire;
74;26;Membre du Gouvernement ou membre de cabinet ministériel; ruralité et collectivités territoriales;
75;26;Membre du Gouvernement ou membre de cabinet ministériel - Aménagement du territoire, ruralité et collectivités territoriales;;
76;27;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
77;27;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
78;27;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
79;27;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social;;
80;28;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;Direction Générale du Trésor 
81;28;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;Direction Générale du Trésor 
82;29;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
83;29;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
84;29;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité des marchés financiers;
85;29;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité des marchés financiers;;
86;30;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Haut Conseil du commissariat aux comptes;
87;30;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Haut Conseil du commissariat aux comptes;;
88;31;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
89;31;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
90;31;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité des marchés financiers;
91;31;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité des marchés financiers;;
92;32;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
93;32;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
94;33;Membre du Gouvernement ou membre de cabinet ministériel;Justice;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française Anticorruption 
95;33;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française Anticorruption 
96;33;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française Anticorruption 
97;33;Membre du Gouvernement ou membre de cabinet ministériel - Justice, Economie et finances, Autres : à préciser;;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française Anticorruption 
98;34;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Haut Conseil du commissariat aux comptes;
99;34;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Haut Conseil du commissariat aux comptes;;
100;35;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Haut Conseil du commissariat aux comptes;
101;35;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Haut Conseil du commissariat aux comptes;;
102;36;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;Direction générale du Trésor
103;36;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;Direction générale du Trésor
104;36;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité des marchés financiers;Direction générale du Trésor
105;36;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité des marchés financiers;;Direction générale du Trésor
106;37;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;Direction générale du Trésor
107;37;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;Direction générale du Trésor
108;37;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité des marchés financiers;Direction générale du Trésor
109;37;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité des marchés financiers;;Direction générale du Trésor
110;38;Membre du Gouvernement ou membre de cabinet ministériel;Autres : à préciser;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française anticorruption
111;38;Membre du Gouvernement ou membre de cabinet ministériel - Autres : à préciser;;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française anticorruption
112;39;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
113;39;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
114;40;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
115;40;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
116;41;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française Anticorruption 
117;41;Membre du Gouvernement ou membre de cabinet ministériel; Autres : à préciser;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française Anticorruption 
118;41;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances, Autres : à préciser;;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante : Agence Française Anticorruption 
119;42;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
120;42;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
121;42;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité des marchés financiers;
122;42;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité des marchés financiers;;
123;43;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;Direction générale du Trésor
124;43;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;Direction générale du Trésor
125;44;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
126;44;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
127;46;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
128;46;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
129;46;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
130;46;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Economie et finances;;
131;52;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
132;52;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
133;52;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité de la concurrence;
134;52;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité de la concurrence;;
135;53;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
136;53;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
137;54;Membre du Gouvernement ou membre de cabinet ministériel;Travail;
138;54;Membre du Gouvernement ou membre de cabinet ministériel; emploi;
139;54;Membre du Gouvernement ou membre de cabinet ministériel; formation professionnelle et dialogue social;
140;54;Membre du Gouvernement ou membre de cabinet ministériel - Travail, emploi, formation professionnelle et dialogue social;;
141;55;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
142;55;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
143;55;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité de la concurrence;
144;55;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité de la concurrence;;
145;56;Membre du Gouvernement ou membre de cabinet ministériel;Economie et finances;
146;56;Membre du Gouvernement ou membre de cabinet ministériel - Economie et finances;;
147;57;Membre du Gouvernement ou membre de cabinet ministériel;Agriculture;
148;57;Membre du Gouvernement ou membre de cabinet ministériel; agroalimentaire et forêt;
149;57;Membre du Gouvernement ou membre de cabinet ministériel; Economie et finances;
150;57;Membre du Gouvernement ou membre de cabinet ministériel - Agriculture, agroalimentaire et forêt, Economie et finances;;
151;57;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante;Autorité de la concurrence;
152;57;Directeur ou secrétaire général, ou leur adjoint, ou membre du collège ou d'une commission des sanctions d'une autorité administrative ou publique indépendante - Autorité de la concurrence;;
153;60;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
154;60;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
155;60;Membre du Gouvernement ou membre de cabinet ministériel - Premier ministre, Affaires sociales et santé;;
156;61;Membre du Gouvernement ou membre de cabinet ministériel;Affaires sociales et santé;
157;61;Membre du Gouvernement ou membre de cabinet ministériel - Affaires sociales et santé;;
158;62;Membre du Gouvernement ou membre de cabinet ministériel;Premier ministre;
159;62;Membre du Gouvernement ou membre de cabinet ministériel; Affaires sociales et santé;
