;action_representation_interet_id;activite_id;observation
0;0;0;
1;1;1;Il s'agit d'un congrès scientifique et médical auquel participe des professionnel de santé responsable de laboratoires privés ou publics. Des sociétés de la branche diagnostic ont participé au financement de cette rencontre (subventions).
2;2;2;
3;3;3;
4;4;4;
5;5;5;
6;6;6;
7;7;7;
8;8;8;
9;9;9;
10;10;10;
11;11;11;Rencontre avec le chargé de missions de la députée Mme Beaudouin Hubière pour lui demander son aval sur la création d'un observatoire de l'assurance
12;12;12;rencontre avec Madame la Député Brigitte Liso pour lui faire part du problème de recrutement de carrossiers et de peintres dans les départements du nord de la France 
13;13;13;nous avons signalés au député le nom respect par les assureurs et les mutualistes de la loi 2014-344 sur le libre choix. il s'est engagé de rappeler au ministre qu'il doit l'a faire respecter.
14;14;14;Importance de faire connaitre le réseau des PIMMS auprès des grandes instances de l'Etat pour intégrer la politique publique - Commissariat général à l'égalité des territoires - Serge MORVAN
15;15;15;Pour consolider un partenariat existent il est nécessaire de rencontrer les interlocuteurs de la Préfecture régulièrement 
16;16;16;Intervention de l'Union nationale des PIMMS auprès des élus du Lot pour renforcer le dispositif MSAP sur le territoire
17;17;17;L'Union nationale des PIMMS apporte son expertise aux élus locaux pour la consolidation de la Maison de services au public
18;18;18;L'Union nationale des PIMMS intervient en tant qu'expert pour faciliter l'accès aux services publics et aux droits sociaux à travers la médiation sociale. Le modèle PIMMS est utilisé pour améliorer celui des MSAP
19;19;19;Présence des élus des collectivités aux inaugurations des nouvelles structures PIMMS sur les territoires 
20;20;20;L'Union nationale des PIMMS possède un catalogue de formation capable de répondre aux besoins de la Caisse des Dépôts pour former les agents des Maisons de services au public qu'elle anime
21;21;21;le réseau des PIMMS est engagé auprès du gouvernement dans la stratégie nationale pour un numérique inclusif
22;22;22;Journée nationale avec intervention du Secrétaire d'Etat au numérique auprès du réseau des PIMMS et des partenaires entreprises
23;23;23;Le réseau des PIMMS est en capacité d'être labellisé Point conseil budget mais nécessité d'obtenir un financement 
24;24;24;L'Union nationale des PIMMS apporte son expertise dans la délivrance des services publics sur les territoires ruraux
25;25;25;L'Union nationale des PIMMS participe aux travaux sur le Label Point conseil budget et est force de propositions pour le faire évoluer dans le but de la déployer sur son réseau de PIMMS
26;26;26;L'Union nationale des PIMMS est identifiée comme experte dans l'accessibilité des services publics et des droits sociaux - le modèle PIMMS accompagne la réflexion du gouvernement et de la Caisse des dépôts pour le développement et l'animation du réseau des Maisons de services au public
27;27;27;L'Union nationale des PIMMS a envoyé une lettre à tous les Préfets de région afin de les inciter à maintenir les aides sur les contrats aidés en mettant en avant les très bons résultats des PIMMS dans l'accompagnement des salariés vers l'emploi durable et la formation qualifiante
28;28;28;
29;29;29;
30;30;30;
31;31;31;
32;32;32;
33;33;33;
34;34;34;Proposer un guide d'application pratique 
35;35;35;
36;36;36;
37;37;37;
38;38;38;
39;39;39;
40;40;40;
41;41;41;
42;42;42;
43;43;43;
44;44;44;
45;45;45;
46;46;46;
47;47;47;
48;48;48;
49;49;49;
50;50;50;La lutte contre le travail dissimulé passerait par le fait de rendre obligatoire l'immatriculation selon les conditions prévues à l'article L.311-2-1 du code rural et de la pêche maritime et de conformer aux conditions énumérées au I de l'article L.214-6-1 du code rural et de la pêche maritime.
51;51;51;
52;52;52;Action réalisée pour les entreprises que le SNPCC représente.
53;53;53;Action réalisée pour les entreprises que le SNPCC représente.
54;54;54;Action réalisée pour les entreprises que le SNPCC représente.
55;55;55;Action réalisée pour les entreprises que le SNPCC représente.
56;56;56;Action réalisée pour les entreprises que le SNPCC représente.
57;57;57;Action réalisée pour les entreprises que le SNPCC représente.
58;58;58;Répondant à la demande d'un député sur le point de déposer un amendement, nous lui avons expliqué le fonctionnement actuel du calcul de l'avantage en nature lié à l'utilisation d'un véhicule électrique de société pour des déplacements privés
59;59;59;
60;60;60;
61;61;61;
62;62;62;
63;63;63;
64;64;64;
65;65;65;
66;66;66;
67;67;67;"courrier au premier ministre le 19/09, courriers à frank Morel et Olivier Courson le 23/10
rdv téléphonique avec le directeur adjoint cabinet travail le 18 décembre 2017"
68;68;68;"Rdv avec Mr Schwartz, directeur du cabinet culture le 11/10 et courrier le 13/10
Courrier à la vice présidente de la commission sénat Culture au sénat le 18/10
courrier au député Mr Attal le 29/09 et rdv le 24/11
Courrier à Monsieur Imbert le 27 septembre et rdv le 27 octobre.
courrier à Monsieur Studer, pdt de la commission des affaires culturelles à l'assemblée nationale
Courrier à la vice présidente de la commission culture au sénat le 18-10
Rdv avec Madame Morin desailly, président de la commission culture du sénat le 14 novembre et courrier le 17 novembre"
69;69;69;
70;70;70;
71;71;71;
72;72;72;"Les actions menées visaient à faire connaître et sensibiliser les décideurs publics aux propositions formulées par Apprentis d'Auteuil dans son Livre Blanc ""Prendre le Parti des Jeunes"" publié en décembre 2016. Ce livre blanc, co-construit avec les jeunes, regroupe 4 parties: la famille, l'école, l'insertion et la citoyenneté. Les actions engagées auprès des décideurs publics se sont basées sur les 20 propositions issues de ce Livre Blanc, détaillées sur www.apprentis-auteuil.org et www.jeunesse2017.fr."
73;73;73;
74;74;74;
75;75;75;
76;76;76;
77;77;77;
78;78;78;
79;79;79;
80;80;80;
81;81;81;
82;82;82;courrier adressé au Ministre du Budget
83;83;83;courrier adressé à la Délégation des Entreprises du Sénat
84;84;84;Rencontre et contributions techniques au Conseiller unique pour la fiscalité auprès du Président de la République et du Premier ministre
85;85;85;courrier au Rapporteur général de la Commission des Finances du Sénat 
86;86;86;Rencontre et contributions techniques au Conseiller unique pour la fiscalité auprès du Président de la République et du Premier ministre
87;87;87;Rencontre avec le Président de la Commission des Finances de l’Assemblée Nationale
88;88;88;
89;89;89;
90;90;90;
91;91;91;
92;92;92;Contacts avec le Haut-Commissariat à la réforme des retraites
93;93;93;Sa rédaction nous semble rompre l’équilibre entre les obligations et les charges des différents acteurs des travaux agricoles. Pour se faire, les entreprises s’immatriculent au RCS, souscrivent une assurance responsabilité civile prestations de services, déposent un dossier de demande d’agrément d’applicateur de produits phytopharmaceutique professionnel à la DRAAF, …. Nous estimons que la création d’une dérogation permettant à une société civile agricole de réaliser des prestations de services commerciales de travaux agricoles contribuerait à la disparition de plus de 50 % des Entreprises de Travaux Agricoles de notre région.
94;94;94;L’entrepreneur de travaux agricoles est présent dans les champs quand l’agriculteur est sur les marchés, dans son atelier de transformation de ses produits. Ce modèle a un avenir, pas celui de l’endettement de l’exploitant en sur mécanisation agricole et à la recherche de recettes accessoires au coût marginal. C’est pourtant la conséquence du doublement des seuils de recettes commerciales qui brise la dynamique collective positive ETA-EXPLOITANT AGRICOLE engagé dans l’inversion de la construction du prix payé aux agriculteurs. 
95;95;95;"La pluviométrie importante que nous avons connue depuis le début de l’année jusque mi-avril a retardé de façon importante les chantiers d’épandage d’effluents d’élevage. Les entrepreneurs sont désormais en difficulté pour épandre les fumiers et lisiers dans un temps réduit. Le matériel d’épandage disponible dans les entreprises ne permettra pas de réaliser ces chantiers dans des délais acceptables pour les semis de printemps.
C’est pourquoi nous vous demandons, par dérogation aux règles existantes de permettre des épandages aux dates suivantes :
-	Samedi 28 avril,
-	Mardi 1er mai,
-	Samedi 5 mai,
-	Mardi 8 mai,
-	Samedi 12 mai.
-	Samedi 19 mai
-	Lundi 21 mai"
96;96;96;Rencontre avec des parlementaires des départements 44 - 49 -53 et 72, pour exposer les difficultés de la profession : suppression du CICE, suppression des TO-DE, hausse du GNR, restrictions des périodes d’épandage, interdiction du taillage des haies, …
97;97;97;
98;98;98;
99;99;99;
100;100;100;
101;101;101;
102;102;102;
103;103;103;
104;104;104;
105;105;105;
106;106;106;
107;107;107;
108;108;108;
109;109;109;
110;110;110;
111;111;111;
112;112;112;
113;113;113;
114;114;114;
115;115;115;
116;116;116;
117;117;117;
118;118;118;
119;119;119;
120;120;120;
121;121;121;
122;122;122;
123;123;123;
124;124;124;
125;125;125;
126;126;126;
127;127;127;
128;128;128;
129;129;129;Dans le cadre défini par la liste annexée au décret n°2017-867 du 9 mai 2017, aucun type de décisions publiques n'est concerné.
130;130;130;Dans le cadre défini par la liste annexée au décret n° 2017-867 du 9 mai 2017, aucun type de décisions publiques n’est concerné.
131;131;131;
132;132;132;
133;133;133;
134;134;134;diffusion du cahier : état des lieux et propositions de solutions
135;135;135;courriers, emails
136;136;136;
137;137;137;
138;138;138;
139;139;139;
140;140;140;
141;141;141;10/01/2018
142;142;142;
143;143;143;07/02/2018
144;144;144;07/03/2018
145;145;145;10/01/2018
146;146;146;
147;147;147;
148;148;148;
149;149;149;
150;150;150;
151;151;151;
152;152;152;
153;153;153;
154;154;154;
155;155;155;
156;156;156;
157;157;157;
158;158;158;
159;159;159;
160;160;160;
161;161;161;
162;162;162;
163;163;163;
164;164;164;
165;165;165;
166;166;166;
167;167;167;
168;168;168;
169;169;169;
170;170;170;12/07/2017
171;171;171;12/10/2017
172;172;172;06/11/2017
173;173;173;14/09/2017
174;174;174;07/12/2017
175;175;175;13/10/2017
176;176;176;13/07/2017
177;177;177;
178;178;178;Promotion et présentation du projet Montagne d'Or (projet d’exploitation minière d’une concession aurifère de l’Ouest de la Guyane française)
179;179;179;Promotion et présentation du projet Montagne d'Or (projet d’exploitation minière d’une concession aurifère de l’Ouest de la Guyane française)
180;180;180;
181;181;181;
