;civilite_dirigeant;fonction_dirigeant;nom_dirigeant;prenom_dirigeant;representants_id;nom_prenom_dirigeant
0;MME;Présidente Exécutive;PREVIEU;Cécile;0;PREVIEU Cécile
1;M;Président;MARTEL;Hervé;1;MARTEL Hervé
2;M;Président;AÏACH;Maxime;2;AÏACH Maxime
3;M;Vice-président;STAUB;Guillaume;2;STAUB Guillaume
4;M;Directeur général;PERALDI;Olivier;2;PERALDI Olivier
5;M;Président;GUERIN;Olivier;3;GUERIN Olivier
6;M;Coprésident Pharmacie;DENIS;Lucas;4;DENIS Lucas
7;MME;Coprésidente Biologie Médicale;TRUFFOT;Aurélie;4;TRUFFOT Aurélie
8;M;Président;SASSIER;Matthieu;5;SASSIER Matthieu
9;M;Trésorier;AUSSEL;Christian;6;AUSSEL Christian
10;M;Secrétaire général;VAUBOURDOLLE;Michel;6;VAUBOURDOLLE Michel
11;M;Président;CYNOBER;Luc;6;CYNOBER Luc
12;M;Président;JUAN;Pierre-Henry;7;JUAN Pierre-Henry
13;M;Secrétaire général;SMADJA;Serge;7;SMADJA Serge
14;M;Président;VALLESPI;Emeric;8;VALLESPI Emeric
15;MME;présidente;SANVISENS;Amandine;9;SANVISENS Amandine
16;M;PRESIDENT;NARDOU;Patrick;10;NARDOU Patrick
17;M;Président;MASSET;Philippe;11;MASSET Philippe
18;M;Président;COULIS;Fabrice;12;COULIS Fabrice
19;M;Président;SEID;Alain;13;SEID Alain
20;M;1er vice-Président;VIELLARD;Emmanuel;13;VIELLARD Emmanuel
21;M;Vice-Président;DEROIN;Louis;13;DEROIN Louis
22;M;Vice-Président;JAECK;Jacques;13;JAECK Jacques
23;MME;Secrétaire;WAGNER;Sandrine;13;WAGNER Sandrine
24;M;Trésorier;ALBIZATI;Alain;13;ALBIZATI Alain
25;M;Trésorier Adjoint;BALDUINI;Dominique;13;BALDUINI Dominique
26;MME;Secrétaire;DAUDET;Edith;13;DAUDET Edith
27;M;PRESIDENT;GRUNBERG;Olivier;14;GRUNBERG Olivier
28;MME;Directrice générale;WEBER;Caroline;15;WEBER Caroline
29;M;Président;CEOLIN;Dominique;15;CEOLIN Dominique
30;MME;Présidente;LE ROUEIL;Anne-Marie;16;LE ROUEIL Anne-Marie
31;MME;Vice Présidente;VERMEULEN;Caroline;16;VERMEULEN Caroline
32;M;President;PUCHE;Vincent;17;PUCHE Vincent
33;M;Directeur Général;CASTAGNÉ;Régis;18;CASTAGNÉ Régis
34;M;Président;GIOVACHINI;Laurent;19;GIOVACHINI Laurent
35;M;Président de l'OVE;PIOT;François;20;PIOT François
36;M;Cofondateur et Président;NIOX-CHATEAU;Stanislas;21;NIOX-CHATEAU Stanislas
37;M;Président;AUBERT;Jack;22;AUBERT Jack
38;M;Délégué général;DUBOIS;Michael;22;DUBOIS Michael
39;M;Président du Conseil d'Administration;SAUVÉ;Jean-Marc;23;SAUVÉ Jean-Marc
40;M;Directeur Général;TRUELLE;Nicolas;23;TRUELLE Nicolas
41;M;Directeur général;JOUTEAU;Antoine;24;JOUTEAU Antoine
42;M;Directeur général adjoint;COLLINET;Alexandre;24;COLLINET Alexandre
43;M;PRESIDENT;SANCHEZ;Marc;25;SANCHEZ Marc
