;civilite_collaborateur;fonction_collaborateur;nom_collaborateur;prenom_collaborateur;representants_id;nom_prenom_collaborateur
0;M;;MATON;Constant;0;MATON Constant
1;MME;Présidente Exécutive;PREVIEU;Cécile;0;PREVIEU Cécile
2;M;;CHALUS;Jean-Pierre;1;CHALUS Jean-Pierre
3;M;Délégué Général;CHALUS;Jean-Pierre;1;CHALUS Jean-Pierre
4;M;;PERALDI;Olivier;2;PERALDI Olivier
5;M;Directeur juridique;TIBOURTINE;Mehdi;2;TIBOURTINE Mehdi
6;MME;Juriste;RMIKI;Soukaïna;2;RMIKI Soukaïna
7;M;Directeur de la Formation;ROUSSEAU;Nicolas;2;ROUSSEAU Nicolas
8;M;;GUERIN;Olivier;3;GUERIN Olivier
9;M;CO-président;DANET;Jean-Baptiste;3;DANET Jean-Baptiste
10;M;Coprésident Pharmacie;DENIS;Lucas;4;DENIS Lucas
11;MME;Coprésidente Biologie Médicale;TRUFFOT;Aurélie;4;TRUFFOT Aurélie
12;MME;Trésorière;OKA;Gaëlle;4;OKA Gaëlle
13;MME;Secrétaire générale;RANJIT;Nina;4;RANJIT Nina
14;MME;Vice-présidente en charge de la communication;TOIROT;Audrey;4;TOIROT Audrey
15;MME;Vice-présidente en charge des partenariats;SILVANT;Alicia;4;SILVANT Alicia
16;M;Vice-président en charge de la biologie médicale;LOTELLIER;Maxence;4;LOTELLIER Maxence
17;M;Vice-président en charge de la biologie médicale;GARRIGUES;Guilhaume;4;GARRIGUES Guilhaume
18;MME;Vice-présidente en charge de la pharmacie hospitalière;HUYNH;Clémence;4;HUYNH Clémence
19;MME;Vice-présidente en charge de la pharmacie industrielle;BERNARD-ARNOUX;Anaïs;4;BERNARD-ARNOUX Anaïs
20;M;Vice-président en charge de la filière innovation pharmaceutique et recherche;GERY;Antoine;4;GERY Antoine
21;M;Vice-président en charge des relations universitaires;GALLARD;Mathieu;4;GALLARD Mathieu
22;MME;Vice-présidente en charge des affaires internationales pour la pharmacie;SADOZAÏ;Laïly;4;SADOZAÏ Laïly
23;M;Vice-président en charge des affaires internationales pour la biologie médicale;ROUX;Hugo;4;ROUX Hugo
24;M;;SASSIER;Matthieu;5;SASSIER Matthieu
25;M;;AUSSEL;Christian;6;AUSSEL Christian
26;M;Président;JUAN;Pierre-Henry;7;JUAN Pierre-Henry
27;M;Secrétaire général;SMADJA;Serge;7;SMADJA Serge
28;M;Trésorier;DINET;Jean-Luc;7;DINET Jean-Luc
29;M;Vice-président;CHANSARD;Pascal;7;CHANSARD Pascal
30;M;Vice-président;CHEMIN;Frédéric;7;CHEMIN Frédéric
31;MME;Vice-présidente;BLONS;Virginie;7;BLONS Virginie
32;M;Président;VALLESPI;Emeric;8;VALLESPI Emeric
33;MME;Directrice;MARTIN;Nathalie;8;MARTIN Nathalie
34;M;Directeur;BERTIN;Cyrille;8;BERTIN Cyrille
35;MME;présidente;SANVISENS;Amandine;9;SANVISENS Amandine
36;M;trésorier;REIGNÉ;Philippe;9;REIGNÉ Philippe
37;M;Secrétaire général;BAZIN;Christophe;10;BAZIN Christophe
38;M;Vice président;PAIS;Jean;10;PAIS Jean
39;M;membre national;LABONNE;Benjamin;10;LABONNE Benjamin
40;M;Vice Président;GRUBER;Richard;10;GRUBER Richard
41;M;Vice Président;CHALMEL;Stéphane;10;CHALMEL Stéphane
42;M;membre national;FOURCADE;Laurent;10;FOURCADE Laurent
43;M;membre national;OLIVAS;Sylvain;10;OLIVAS Sylvain
44;M;Trésorier national;BOUNICAUD;Jacques;10;BOUNICAUD Jacques
45;M;membre national;KLINGLER;Emmanuel;10;KLINGLER Emmanuel
46;MME;membre nationale;RINGUENOIRE;Isabelle;10;RINGUENOIRE Isabelle
47;M;secrétaire national;TOULZE;Pierre;10;TOULZE Pierre
48;M;Directeur des Affaires Publiques;PELLERIN;Matis;11;PELLERIN Matis
49;M;Président;COULIS;Fabrice;12;COULIS Fabrice
50;M;;ARBEZ;Christian;13;ARBEZ Christian
51;M;;GRUNBERG;Olivier;14;GRUNBERG Olivier
52;M;DIRECTEUR GENERAL;BOURRAT;Benoit;14;BOURRAT Benoit
53;MME;CHARGEE DE MISSION;LE DIBERDER;Isabelle;14;LE DIBERDER Isabelle
54;MME;ANIMATRICE RESEAU PIMMS;MORRONE;Colette;14;MORRONE Colette
55;MME;CHARGEE DE MISSION;LADERRIERE;Anne-Laure;14;LADERRIERE Anne-Laure
56;MME;Directrice générale;WEBER;Caroline;15;WEBER Caroline
57;MME;;PETIT;Marianne;16;PETIT Marianne
58;MME;Présidente;LE ROUEIL;Anne-Marie;16;LE ROUEIL Anne-Marie
59;MME;Vice Présidente;VERMEULEN;Caroline;16;VERMEULEN Caroline
60;M;Secrétaire;BERTHON;Thomas;16;BERTHON Thomas
61;MME;Secrétaire adjointe;VALLEZ;Nadine;16;VALLEZ Nadine
62;M;Trésorier;DEMOLY;Yannick;16;DEMOLY Yannick
63;MME;Trésorière adjointe;RIBES;Audrey;16;RIBES Audrey
64;M;;PUCHE;Vincent;17;PUCHE Vincent
65;M;Consultant;CARON;Bernard;17;CARON Bernard
66;M;Consultant;BORU;Benoit;17;BORU Benoit
67;M;Consultant;BEHANZIN;Patrick;17;BEHANZIN Patrick
68;MME;Consultant;GARDELLE;Vanessa;17;GARDELLE Vanessa
69;M;Directeur Marketing;GAUTIER;Fabien;18;GAUTIER Fabien
70;M;Consultant Affaires Publiques;DAMIA;Alexis;18;DAMIA Alexis
71;MME;Responsable affaires publiques et RSE;CARTILLIER;Eléonore;19;CARTILLIER Eléonore
72;M;;PIOT;François;20;PIOT François
73;MME;Secrétaire Générale;LAGOUTTE;Christine;20;LAGOUTTE Christine
74;MME;Responsable développement;BUNTIC;Monique;20;BUNTIC Monique
75;M;Directeur de la Communication & des Affaires publiques;PITRON;Henri;21;PITRON Henri
76;M;Responsable Affaires publiques;MARTY;Louis;21;MARTY Louis
77;M;Délégué général;DUBOIS;Michaël;22;DUBOIS Michaël
78;MME;Assistante;KRASSIK;Sophie;22;KRASSIK Sophie
79;MME;Responsable du Plaidoyer et des Relations Extérieures;CASIN-LARRETCHE;Emilie;23;CASIN-LARRETCHE Emilie
80;MME;Responsable Adjointe des Relations Extérieures, du Plaidoyer et de la Mobilisation;FOUCTEAU;Hélène;23;FOUCTEAU Hélène
81;M;Chargé du Plaidoyer et des Relations Institutionnelles;TETAS;Jonathan;23;TETAS Jonathan
82;MME;Responsable Plaidoyer et Communication Régionale;DARCISSAC;Marion;23;DARCISSAC Marion
83;MME;Responsable Plaidoyer et Communication Régionale;GRISON;Nathalie;23;GRISON Nathalie
84;MME;Responsable Plaidoyer et Communication Régionale;DE MONTALIVET;Aurore;23;DE MONTALIVET Aurore
85;MME;Responsable Plaidoyer et Communication Régionale;TRAN;Sandra;23;TRAN Sandra
86;MME;Responsable Plaidoyer et Communication Régionale;HAMARD;Prune;23;HAMARD Prune
