;representants_id;denomination_affiliation;identifiant_national_affiliation;type_identifiant_national_affiliation
0;1;LE CLUSTER MARITIME FRANCAIS;489847624;SIREN
1;2;MOUVEMENT ENTREPRISE FRANCE INTERNATIONA;378236376;SIREN
2;2;GROUPEMENT DES PROFESSIONS DE SERVICES;477942114;SIREN
3;4;FEDERATION ASS GENERALES ETUDIANTES;397834425;SIREN
4;10;FEDERATION FRANCAISE CARROSSERIE;784717019;SIREN
5;11;SYNTEC NUMERIQUE;384719001;SIREN
6;11;AMERICAIN CHAMBER OF COMMERC;784357329;SIREN
7;14;FRANCE MEDIATION RESEAU D'ACTEURS DE LA MEDIATION SOCIALE;508093812;SIREN
8;16;CONFED NAT ARTISAN DES METIER ET SERVICE;784409211;SIREN
9;16;UNION DES ENTREPRISES DE PROXIMITE;349681098;SIREN
10;17;CHAMBRE NALE CONSEILLERS INVESTISSEMENT FINANCIER;489247676;SIREN
11;17;ASSOCIATION POUR LA GESTION PARTICIPATIVE L'EPARGNE SALARIALE ET L'ACTIONNARIAT DE RESPONSABILITE FONDACT;W751054005;RNA
12;17;INSTITUT FRANCAIS DE L'AUDIT ET DU CONTROLE INTERNES IFACI;W751035157;RNA
13;18;FRANCE DATACENTER;534233887;SIREN
14;21;INTEROP'SANTE;389297342;SIREN
15;21;FRANCE DIGITALE;791772445;SIREN
16;21;CAP DIGITAL;489749291;SIREN
17;23;UNION NAT INTER OEUVRE PRIVE SANIT SOCIA;775672223;SIREN
18;23;UNION NATIONALE DES ORGANISMES FAISANT APPEL AUX GENEROSITES;497918375;SIREN
19;23;CENTRE FRANCAIS DES FONDATIONS;444560080;SIREN
20;23;VERS LE HAUT;W921004290;RNA
21;24;UNION NATIONALE POUR LA PROMOTION ET LE DEVELOPPPEMENT DE LA LOCATION DE VACANCES;W751216334;RNA
22;24;ASS INTERNET ADVERTISING BUREAU;433370152;SIREN
23;24;SYNDICAT DES REGIES INTERNET;482600806;SIREN
24;24;FEDERATION ENTREPRISES VENTE A DISTANCE;784854994;SIREN
25;27;IFACI CERTIFICATION;449543461;SIREN
26;27;SYND NATION INDUST TECHNOL MEDICALES;307330845;SIREN
27;27;GPT INDUSTRIEL FRANCAIS APPAREIL MENAGER;784669111;SIREN
28;27;ALLIANCE FRANCAISE DES INDUSTRIES DU NUMERIQUE;438608630;SIREN
29;27;FORUM DE LA TELEVISION MOBILE;490418571;SIREN
30;27;FEDER ENTR INDUST COMM INTERN MECANIQ;784311854;SIREN
31;27;GROUP INDUS CONNEX REGION PARI;785425844;SIREN
32;28;FEDERATION NATIONALE DROIT ENTREPRISE;775589252;SIREN
33;28;GROUPEMENT FRANCAIS DE L'ASSOCIATION FISCALE INTERNATIONALE;799832076;SIREN
34;30;ENTREPRENEURS DES TERRITOIRES;784450835;SIREN
35;30;FEDERATION DEPARTEMENTALE DES ENTREPRENEURS DE TRAVAUX AGRICOLES RURAUX ET FORESTIERS DE LA MAYENNE;852659457;SIREN
36;32;FEDERATION FRANCAISE DU BATIMENT;784668642;SIREN
37;33;FNDF;801076522;SIREN
38;33;SYNDICAT DE L'EDITION VIDEO NUMERIQUE;342560133;SIREN
39;33;ASS DES CHAINES DU CABLE ET DU SATELLITE;417740743;SIREN
40;34;UNION NATIONAL INDUS CARRIERE MATERIEL;784717043;SIREN
41;35;ASS NATIONALE IND. AGRO ALIMENTAIRES;302664784;SIREN
42;36;ASS FRANCAISE PROFESSIONNELS DES TITRES;400427910;SIREN
43;36;ASS FRANCAISE ENTREPRISES INVESTISSEMENT;348036278;SIREN
44;38;UNION NATIONALE DES ORGANISMES FAISANT APPEL AUX GENEROSITES;497918375;SIREN
45;38;COORDI SOLIDARITE URGENCE DEVELOPPEMENT;398699538;SIREN
46;38;CONSEIL MONDIAL DE L'EAU;409884319;SIREN
47;39;ASS FRANCAISE DE LA GESTION FINANCIERE;784362584;SIREN
48;41;FEDERATION NATIONALE MUTUALITE FRANCAISE;304426240;SIREN
49;42;CONSEIL DU COMMERCE DE FRANCE;784856528;SIREN
50;42;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
51;42;COOP FR LES ENTREPRISES COOPERATIVES;317165728;SIREN
52;42;INDEPENDENT RETAIL EUROPE;H000000014;HATVP
53;47;MOUV ENTREPRI FRANCE MEDEF ILE DE FRANCE;784717423;SIREN
54;49;MEDTECH IN FRANCE;W921003279;RNA
55;50;COLLECTIF NATIONAL DROITS DE L HOMME ROMEUROPE;501420889;SIREN
56;50;COLLECTIF INTERASSOCIATIF SUR LA SANTE ILE DE FRANCE CISS ILE DE FRANCE;494860430;SIREN
57;50;CENTRE PRIMO LEVI;401121355;SIREN
58;50;COMMISSION NAT CONSULTATIVE DROITS HOMME;110000197;SIREN
59;50;PLATEFORME ONG FRANCAISES PALESTINE;433238037;SIREN
60;50;COORDI SOLIDARITE URGENCE DEVELOPPEMENT;398699538;SIREN
61;50;UNION NATIONALE DES ORGANISMES FAISANT APPEL AUX GENEROSITES;497918375;SIREN
62;50;OBSERVATOIRE DU DROIT A LA SANTE DES ETRANGERS;H642492785;HATVP
63;50;COORDINATION FRANCAISE POUR LE DROIT D'ASILE;H898019463;HATVP
64;50;UNION NAT INTER OEUVRE PRIVE SANIT SOCIA;775672223;SIREN
65;51;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
66;53;COOP FR LES ENTREPRISES COOPERATIVES;317165728;SIREN
67;53;OFFICE COORDINATION BANCAIRE FINANCIERE;784411340;SIREN
68;54;GYNECOLOGIE SANS FRONTIERE;433299179;SIREN
69;54;ASS MEDECINE RECHERCHE EN AFRIQUE;438971426;SIREN
70;54;ASS NALE DES  ETUDIANTS SAGES FEMMES;491765848;SIREN
71;54;SOCIETE FRANCAISE DE TELEMEDECINE ANTEL (SFT ANTEL);533650412;SIREN
72;54;COMITE DE LIAISON DES INSTITUTIONS ORDINALES - CLIO;W751189349;RNA
73;58;ASS  A F E C E I;428419287;SIREN
74;59;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
75;59;ASS CONFEDERATION FRANCAISE AVICULTURE;439775461;SIREN
76;59;ASS GENERALE DES PRODUCTEURS DE MAIS;782357040;SIREN
77;59;FNSEA NOUVELLE-AQUITAINE;419743729;SIREN
78;60;FEDERATION DE L'HOSPITALISATION PRIVEE;439676578;SIREN
79;61;CONFEDERATION FRANCAISE METIERS D'ART;784718132;SIREN
80;61;FED FRANC BIJOU JOAILLER ORFEV;788262822;SIREN
81;62;MOUVEMENT DES ENTREPRISES DE FRANCE;775347453;SIREN
82;62;ALLIANCE 46.2 ENTREPRENDRE EN FRANCE POUR LE TOURISME;801265836;SIREN
83;62;ASSO FRANCAI ENTREPRIS PRIVEES;326943016;SIREN
84;62;FED FSE COUT PRET PORTER COUT CREATMODE;423488196;SIREN
85;62;COMITE COLBERT;784179012;SIREN
86;62;COMITE FRANCE CHINE;315982454;SIREN
87;63;ASSO FRANCAI ENTREPRIS PRIVEES;326943016;SIREN
88;63;FEDERATION DES ENTREPRISES  DE LA BEAUTE;784717167;SIREN
89;63;LE CERCLE DE L'INDUSTRIE;394192389;SIREN
90;63;UNION DES ANNONCEURS;784669533;SIREN
91;63;INSTITUT DE L ENTREPRISE;302655154;SIREN
92;63;INSTITU LIAISON ETUDES INDUSTR CONSOMM;784671075;SIREN
93;63;MOUVEMENT ENTREPRISE FRANCE INTERNATIONA;378236376;SIREN
94;64;CONFEDERATION DES PETITES ET MOYENNES ENTREPRISES;303215016;SIREN
95;65;ASS DE LUTTE CONTRE LA PIRATERIE AUDIOVI;339337255;SIREN
96;65;UNION INTERNATIONALE DES CINEMAS;H413665340;HATVP
97;66;FEDE NAT SYNDIC EXPL AGRICOLE;784854937;SIREN
98;66;ASS INTERPROF DES FRUITS & LEGUMES FRAIS;308647395;SIREN
99;67;ASSOCIATION POUR LA PROMOTION DE L'INNOVATION DES DISPOSITIFS MEDICAUX APIDIM.;W751184083;RNA
100;67;SYND NATION INDUST TECHNOL MEDICALES;307330845;SIREN
101;69;UNION FABRIC. PROTECT PROPRIETE INDUST.;784668709;SIREN
102;69;SPORSORA;420523425;SIREN
103;69;FRANCE ESPORTS;W751236754;RNA
