;niveau_intervention;representants_id
0;Mondial;0
1;Local;1
2;National;1
3;Européen;1
4;Mondial;1
5;Local;2
6;National;2
7;Européen;2
8;Local;3
9;National;3
10;National;4
11;Européen;4
12;Local;5
13;National;5
14;Européen;5
15;National;6
16;National;7
17;Local;8
18;National;8
19;Européen;8
20;Local;9
21;National;9
22;Local;10
23;National;10
24;Européen;10
25;Local;11
26;National;11
27;Européen;11
28;Local;12
29;National;12
30;Local;13
31;National;14
32;Local;15
33;National;15
34;Européen;15
35;Local;16
36;National;16
37;National;17
38;Local;18
39;National;18
40;Européen;18
41;Mondial;18
42;Local;19
43;National;19
44;National;20
45;National;21
46;Local;22
47;National;22
48;Européen;22
49;Local;23
50;National;23
51;Local;24
52;National;24
53;National;25
54;Local;26
55;National;26
56;Local;27
57;National;27
58;National;28
59;Européen;28
60;Local;29
61;National;29
62;Européen;29
63;Mondial;29
64;Local;30
65;National;30
66;Européen;30
67;National;31
68;Européen;31
69;Local;32
70;National;33
71;Européen;33
72;Mondial;33
73;National;34
74;Européen;34
75;National;35
76;National;36
77;Européen;36
78;Mondial;36
79;Local;37
80;National;37
81;National;38
82;Européen;38
83;Mondial;38
84;National;39
85;Européen;39
86;Local;40
87;National;40
88;Local;41
89;National;41
90;National;42
91;Européen;42
92;Local;43
93;National;43
94;Local;44
95;National;44
96;National;45
97;Européen;45
98;Local;46
99;National;47
100;Européen;47
101;National;48
102;Européen;48
103;National;49
104;Local;50
105;National;50
106;Européen;50
107;Mondial;50
108;Local;51
109;National;51
110;Européen;51
111;National;52
112;National;53
113;Européen;53
114;Mondial;53
115;Local;54
116;National;54
117;Européen;54
118;Mondial;54
119;National;55
120;Local;56
121;National;56
122;Européen;56
123;Mondial;56
124;Local;57
125;National;57
126;Local;58
127;National;58
128;Européen;58
129;Local;59
130;National;59
131;Mondial;60
132;Local;61
133;National;61
134;Européen;61
135;Local;62
136;National;62
137;Européen;62
138;Mondial;62
139;Local;63
140;National;63
141;Européen;63
142;Mondial;63
143;Local;64
144;National;64
145;Européen;64
146;Mondial;64
147;Local;65
148;National;65
149;Européen;65
150;Local;66
151;National;66
152;Européen;66
153;Mondial;66
154;Local;67
155;National;67
156;Européen;67
157;Local;68
158;National;68
159;Européen;68
160;Mondial;68
161;National;69
162;Européen;69
163;Local;70
164;National;70
165;Européen;70
166;Local;71
167;National;71
168;National;72
169;Européen;72
170;Mondial;72
171;Local;73
172;Local;74
173;National;74
174;Européen;74
175;Local;75
176;National;75
177;National;76
178;Européen;76
179;Local;77
180;National;77
181;Européen;77
182;National;78
183;Local;79
184;Local;80
185;National;80
186;Européen;80
187;Local;81
188;National;81
189;Européen;81
190;Mondial;81
191;National;82
192;Européen;82
193;Local;83
194;Local;84
195;National;84
196;Mondial;84
197;National;85
198;Européen;85
199;Local;86
200;Mondial;87
201;National;88
202;Local;89
203;National;89
204;Local;90
205;National;90
206;Européen;90
207;Local;91
208;National;91
209;Local;92
210;National;92
211;Local;93
212;National;93
213;Local;94
214;National;94
215;Local;95
216;National;95
217;Local;96
218;National;96
219;Européen;96
220;Local;97
221;National;97
222;Européen;97
223;Local;98
224;National;98
225;Européen;98
226;Mondial;98
227;Local;99
228;National;99
229;National;100
230;Mondial;100
231;Local;101
232;National;101
233;Européen;101
234;Local;102
235;National;102
236;Européen;102
237;Local;103
238;National;103
239;Européen;103
240;Local;104
241;National;104
242;Européen;104
243;Mondial;104
244;National;105
245;Européen;105
246;National;106
247;Européen;106
248;Mondial;106
249;Local;107
250;National;107
251;Local;108
252;National;108
253;Européen;108
254;Mondial;108
255;Local;109
256;National;109
257;Local;110
258;National;110
259;National;111
260;Local;112
261;National;112
262;Européen;112
263;Mondial;112
264;Local;113
265;Local;114
266;National;114
267;Européen;114
268;Local;115
269;National;115
270;Européen;115
271;Local;116
272;National;116
273;Européen;116
274;Mondial;116
275;Local;117
276;National;117
277;Local;118
278;National;118
279;Européen;118
280;Mondial;118
281;Local;119
282;National;119
283;National;120
284;Mondial;120
285;National;121
286;Européen;121
287;Local;122
288;Mondial;123
289;Local;124
290;National;124
291;Européen;124
292;Local;125
293;National;125
294;National;126
295;National;127
296;National;128
297;Européen;128
298;Local;129
299;National;129
300;National;130
301;Européen;130
302;Local;131
303;National;131
304;National;132
305;Européen;132
306;National;133
307;National;134
308;Européen;134
309;National;135
310;Européen;135
311;National;136
312;National;137
313;Local;138
314;National;138
315;Européen;138
316;Mondial;139
317;National;140
318;Local;141
319;Local;142
320;National;142
321;Européen;142
322;Local;143
323;National;143
324;Européen;143
325;Local;144
326;Local;145
327;National;145
328;Européen;145
329;Mondial;145
330;National;146
331;Européen;146
332;National;147
333;Européen;147
334;National;148
335;Local;149
336;National;149
337;Local;150
338;National;150
339;Local;151
340;National;151
341;Européen;151
342;Mondial;151
343;National;152
344;Européen;152
345;Mondial;153
346;Local;154
347;National;154
348;National;155
349;Européen;155
350;Local;156
351;National;156
352;Local;157
353;National;157
354;Européen;157
355;Local;158
356;National;158
357;Européen;158
358;Local;159
359;National;159
360;Européen;159
361;Mondial;159
362;Local;160
363;National;160
364;Européen;160
365;Mondial;160
366;Local;161
367;National;161
368;Local;162
369;National;163
370;Européen;163
371;National;164
372;Européen;164
373;Mondial;164
374;Local;165
375;National;165
376;Local;166
377;National;166
378;Local;167
379;National;167
380;Européen;167
381;Mondial;167
382;Local;168
383;National;168
384;Européen;168
385;Local;169
386;National;169
387;Local;170
388;National;170
389;Européen;170
390;Mondial;170
391;Local;171
392;National;171
393;Européen;171
394;Mondial;171
395;Local;172
396;National;172
397;Européen;172
398;Mondial;172
399;Local;173
400;National;173
401;Européen;173
402;Local;174
403;National;174
404;Européen;174
405;Mondial;174
406;Local;175
407;National;175
408;National;176
409;Européen;176
410;National;177
411;Local;178
412;National;178
413;Européen;178
414;National;179
415;Local;180
416;National;180
417;Européen;180
418;Mondial;180
419;Local;181
420;Mondial;181
421;Local;182
422;National;182
423;Européen;182
424;Mondial;182
425;Local;183
426;National;183
427;Local;184
428;National;184
429;Européen;184
430;National;185
431;Local;186
432;National;186
433;Européen;186
434;Local;187
435;National;187
436;Européen;187
437;Mondial;187
438;Local;188
439;National;188
440;Européen;188
441;National;189
442;Local;190
443;National;190
444;National;191
445;National;192
446;Européen;192
447;Local;193
448;National;193
449;Européen;193
450;Mondial;193
451;Local;194
452;National;194
453;Européen;194
454;Mondial;194
455;Local;195
456;National;195
457;Local;196
458;National;196
459;Européen;196
460;Mondial;196
461;National;197
462;Local;198
463;National;198
464;Local;199
465;National;199
466;Européen;199
467;Mondial;199
468;Local;200
469;National;200
470;Local;201
471;National;201
472;Européen;201
473;Mondial;201
474;Local;202
475;National;202
476;Européen;202
477;Européen;203
478;Mondial;203
479;Local;204
480;National;204
481;Local;205
482;National;205
483;Européen;205
484;National;206
485;Européen;206
486;Local;207
487;Local;208
488;Local;209
489;National;210
490;Européen;210
491;National;211
492;Local;212
493;National;213
494;Européen;213
495;Local;214
496;National;214
497;Européen;214
498;Mondial;214
499;Local;215
500;National;215
501;Européen;215
502;Mondial;215
503;Local;216
504;National;217
505;National;218
506;Local;219
507;National;219
508;Européen;219
509;Mondial;219
510;Local;220
511;National;220
512;Local;221
513;National;221
514;Européen;221
515;National;222
516;Local;223
517;National;223
518;Européen;223
519;Local;224
520;National;224
521;Local;225
522;Local;226
523;National;226
524;Européen;226
525;Mondial;226
526;Local;227
527;National;227
528;Européen;227
529;Mondial;227
530;National;228
531;Européen;228
532;Mondial;228
533;Local;229
534;National;229
535;Européen;229
536;Local;230
537;National;230
538;Européen;230
539;Mondial;230
540;Local;231
541;National;231
542;Européen;231
543;Mondial;231
544;Local;232
545;National;232
546;Européen;232
547;National;233
548;Européen;233
549;National;234
550;Local;235
551;Local;236
552;National;236
553;Européen;236
554;National;237
555;National;238
556;Local;239
557;Local;240
558;National;240
559;Local;241
560;National;241
561;Local;242
562;National;242
563;Européen;242
564;Local;243
565;National;243
566;Européen;243
567;Mondial;244
568;Local;245
569;Local;246
570;National;246
571;Européen;246
572;National;247
573;Européen;247
574;Mondial;247
575;National;248
576;Local;249
577;National;249
578;Européen;249
579;Local;250
580;National;250
581;Européen;250
582;Mondial;250
583;Local;251
584;National;251
585;Européen;251
586;Local;252
587;National;252
588;Européen;252
589;National;253
590;Européen;253
591;Mondial;253
592;Local;254
593;National;254
594;Local;255
595;National;255
596;Européen;255
597;Mondial;255
598;Local;256
599;Local;257
600;National;257
601;Local;258
602;National;258
603;Européen;258
604;Local;259
605;National;259
606;Local;260
607;National;260
608;Européen;260
609;Mondial;260
610;Local;261
611;National;261
612;Européen;261
613;National;262
614;Européen;262
615;Local;263
616;National;263
617;Local;264
618;National;264
619;National;265
620;National;266
621;Local;267
622;National;267
623;Européen;267
624;Mondial;267
625;Local;268
626;Local;269
627;Local;270
628;National;270
629;Local;271
630;National;271
631;Européen;271
632;National;272
633;Européen;272
634;Local;273
635;National;273
636;Européen;273
637;Local;274
638;National;274
639;Européen;274
640;Mondial;274
641;Local;275
642;National;275
643;Local;276
644;National;276
645;National;277
646;National;278
647;Européen;278
648;Mondial;278
649;Local;279
650;National;279
651;National;280
652;Européen;280
653;National;281
654;Local;282
655;National;282
656;Européen;282
657;Local;283
658;National;283
659;Européen;283
660;Mondial;283
661;National;284
662;Local;285
663;National;286
664;Européen;286
665;National;287
666;Local;288
667;National;288
668;Européen;288
669;Local;289
670;National;289
671;Local;290
672;National;290
673;Européen;290
674;Local;291
675;National;291
676;Européen;291
