;domaines_intervention_actions_menees;activite_id
0;Impôts;0
1;Famille;0
2;Soins et maladies;1
3;Remboursements;2
4;Soins et maladies;2
5;Système de santé et médico-social;2
6;Soins et maladies;3
7;Système de santé et médico-social;3
8;Pêche;4
9;Bien-être animal;5
10;Spectacle vivant;6
11;Bien-être animal;6
12;Bien-être animal;7
13;Bien-être animal;8
14;Pêche;8
15;Spectacle vivant;9
16;Bien-être animal;9
17;Patrimoine;10
18;Bien-être animal;10
19;Assurances;11
20;Droit du travail;12
21;Assurances;13
22;Droit du travail;14
23;Immigration;15
24;Partenariats public/privé;16
25;Collectivités territoriales;16
26;Collectivités territoriales;17
27;Partenariats public/privé;18
28;Collectivités territoriales;18
29;Collectivités territoriales;19
30;Formation professionnelle;20
31;Accès à l’Internet;21
32;Protection des données;21
33;Accès à l’Internet;22
34;Finances;23
35;Partenariats public/privé;23
36;Collectivités territoriales;24
37;Fonction publique;25
38;Partenariats public/privé;26
39;Droit du travail;27
40;Marchés réglementés;28
41;Marchés réglementés;29
42;Marchés réglementés;30
43;Marchés réglementés;31
44;Marchés réglementés;32
45;Politique industrielle;33
46;Marchés réglementés;34
47;Marchés réglementés;35
48;Marchés réglementés;36
49;Marchés réglementés;37
50;Politique industrielle;38
51;Marchés réglementés;39
52;Marchés réglementés;40
53;Politique industrielle;41
54;Marchés réglementés;42
55;Marchés réglementés;43
56;Politique industrielle;43
57;Finances;44
58;Justice pénale;44
59;Droit de la concurrence;45
60;Bien-être animal;45
61;Finances;46
62;Agriculture;46
63;Professions réglementées;47
64;Agriculture;47
65;Formation professionnelle;48
66;Professions réglementées;49
67;Bien-être animal;49
68;Agriculture;49
69;Professions réglementées;50
70;Agriculture;50
71;Droit du travail;51
72;Bien-être animal;51
73;Agriculture;51
74;Aides aux entreprises;52
75;Finances;53
76;Taxes;53
77;Aides aux entreprises;53
78;Droit du travail;54
79;Aides aux entreprises;55
80;Finances;56
81;Taxes;56
82;Aides aux entreprises;56
83;Droit de la concurrence;57
84;Aides aux entreprises;57
85;Impact des transports individuels;58
86;Impact des transports individuels;59
87;Impact des transports marchands et collectifs;59
88;Remboursements;60
89;Prévention;60
90;Soins et maladies;60
91;Système de santé et médico-social;60
92;Système de santé et médico-social;61
93;Marché du numérique;61
94;Système de santé et médico-social;62
95;Formation professionnelle;63
96;Spectacle vivant;64
97;Cinéma;64
98;Musique;64
99;Assurance chômage;65
100;Dialogue social;65
101;Droit du travail;66
102;Spectacle vivant;66
103;Audiovisuel;66
104;Cinéma;66
105;Musique;66
106;Droit du travail;67
107;Spectacle vivant;67
108;Audiovisuel;67
109;Cinéma;67
110;Musique;67
111;Assurance chômage;68
112;Droit du travail;68
113;Formation professionnelle;68
114;Droit du travail;69
115;Droits et libertés fondamentales;69
116;Discriminations;69
117;Egalité des chances;69
118;Discriminations;70
119;Famille;70
120;Egalité des chances;70
121;Education;71
122;Développement économique des outre-mer;71
