;secteur_activite;representants_id
0;Energie;0
1;Economie;1
2;Travail, emploi, solidarité;1
3;Gouvernance d’entreprise;1
4;Environnement;1
5;Outre-mer;1
6;Transports, logistique;1
7;Concurrence, consommation;2
8;Economie;2
9;Education, enseignement supérieur, formation;2
10;Travail, emploi, solidarité;2
11;Fiscalité, finances publiques;2
12;Gouvernance d’entreprise;2
13;Numérique;2
14;Outre-mer;2
15;Questions de société;2
16;Agriculture, alimentation, pêche;3
17;Arts, patrimoine culturel;3
18;Banques, assurances, secteur financier;3
19;Economie;3
20;Energie;3
21;Environnement;3
22;Logement, aménagement du territoire, urbanisme;3
23;Numérique;3
24;Education, enseignement supérieur, formation;4
25;Recherche, innovation;4
26;Professions réglementées;4
27;Santé, sécurité sociale;4
28;Agriculture, alimentation, pêche;5
29;Concurrence, consommation;5
30;Economie;5
31;Education, enseignement supérieur, formation;5
32;Recherche, innovation;5
33;Fiscalité, finances publiques;5
34;Gouvernance d’entreprise;5
35;Environnement;5
36;Logement, aménagement du territoire, urbanisme;5
37;Pouvoirs publics, institutions, fonction publique;5
38;Professions réglementées;5
39;Santé, sécurité sociale;5
40;Santé, sécurité sociale;6
41;Santé, sécurité sociale;7
42;Agriculture, alimentation, pêche;8
43;Arts, patrimoine culturel;8
44;Education, enseignement supérieur, formation;8
45;Travail, emploi, solidarité;8
46;Energie;8
47;Environnement;8
48;Justice;8
49;Logement, aménagement du territoire, urbanisme;8
50;Médias, industries culturelles;8
51;Numérique;8
52;Pouvoirs publics, institutions, fonction publique;8
53;Propriété intellectuelle;8
54;Questions migratoires;8
55;Santé, sécurité sociale;8
56;Questions de société;8
57;Sports, loisirs, tourisme;8
58;Communications électroniques;8
59;Arts, patrimoine culturel;9
60;Environnement;9
61;Questions de société;9
62;Sports, loisirs, tourisme;9
63;Concurrence, consommation;10
64;Concurrence, consommation;11
65;Défense, sécurité;11
66;Economie;11
67;Recherche, innovation;11
68;Fiscalité, finances publiques;11
69;Numérique;11
70;Pouvoirs publics, institutions, fonction publique;11
71;Propriété intellectuelle;11
72;Communications électroniques;11
73;Défense, sécurité;12
74;Economie;12
75;Travail, emploi, solidarité;12
76;Justice;12
77;Logement, aménagement du territoire, urbanisme;12
78;Outre-mer;12
79;Propriété intellectuelle;12
80;Questions de société;12
81;Pouvoirs publics, institutions, fonction publique;13
82;Travail, emploi, solidarité;14
83;Logement, aménagement du territoire, urbanisme;14
84;Numérique;14
85;Economie;15
86;Travail, emploi, solidarité;15
87;Recherche, innovation;15
88;Fiscalité, finances publiques;15
89;Gouvernance d’entreprise;15
90;Agriculture, alimentation, pêche;16
91;Concurrence, consommation;16
92;Economie;16
93;Education, enseignement supérieur, formation;16
94;Travail, emploi, solidarité;16
95;Banques, assurances, secteur financier;17
96;Fiscalité, finances publiques;17
97;Pouvoirs publics, institutions, fonction publique;17
98;Professions réglementées;17
99;Commerce extérieur;18
100;Défense, sécurité;18
101;Economie;18
102;Energie;18
103;Fiscalité, finances publiques;18
104;Environnement;18
105;Numérique;18
106;Communications électroniques;18
107;Economie;19
108;Education, enseignement supérieur, formation;19
109;Travail, emploi, solidarité;19
110;Recherche, innovation;19
111;Fiscalité, finances publiques;19
112;Environnement;19
113;Questions de société;19
114;Banques, assurances, secteur financier;20
115;Concurrence, consommation;20
116;Economie;20
117;Travail, emploi, solidarité;20
118;Energie;20
119;Fiscalité, finances publiques;20
120;Environnement;20
121;Pouvoirs publics, institutions, fonction publique;20
122;Santé, sécurité sociale;20
123;Transports, logistique;20
124;Santé, sécurité sociale;21
125;Communications électroniques;21
126;Arts, patrimoine culturel;22
127;Education, enseignement supérieur, formation;22
128;Travail, emploi, solidarité;22
129;Médias, industries culturelles;22
130;Numérique;22
131;Education, enseignement supérieur, formation;23
132;Travail, emploi, solidarité;23
133;Fiscalité, finances publiques;23
134;Outre-mer;23
135;Questions de société;23
136;Concurrence, consommation;24
137;Economie;24
138;Travail, emploi, solidarité;24
139;Numérique;24
140;Education, enseignement supérieur, formation;25
141;Education, enseignement supérieur, formation;26
142;Numérique;26
143;Education, enseignement supérieur, formation;27
144;Environnement;27
145;Médias, industries culturelles;27
146;Numérique;27
147;Communications électroniques;27
148;Fiscalité, finances publiques;28
149;Economie;29
150;Travail, emploi, solidarité;29
151;Fiscalité, finances publiques;29
152;Environnement;29
153;Transports, logistique;29
154;Agriculture, alimentation, pêche;30
155;Concurrence, consommation;30
156;Economie;30
157;Education, enseignement supérieur, formation;30
158;Travail, emploi, solidarité;30
159;Fiscalité, finances publiques;30
160;Gouvernance d’entreprise;30
161;Environnement;30
162;Pouvoirs publics, institutions, fonction publique;30
163;Transports, logistique;30
164;Professions réglementées;31
165;Santé, sécurité sociale;31
166;Economie;32
167;Education, enseignement supérieur, formation;32
168;Travail, emploi, solidarité;32
169;Environnement;32
170;Logement, aménagement du territoire, urbanisme;32
171;Médias, industries culturelles;33
172;Agriculture, alimentation, pêche;34
173;Travail, emploi, solidarité;34
174;Fiscalité, finances publiques;34
175;Pouvoirs publics, institutions, fonction publique;34
176;Agriculture, alimentation, pêche;35
177;Banques, assurances, secteur financier;36
178;Economie;37
179;Education, enseignement supérieur, formation;37
180;Travail, emploi, solidarité;37
181;Fiscalité, finances publiques;37
182;Santé, sécurité sociale;37
183;Affaires étrangères, coopération internationale;38
184;Questions migratoires;38
185;Questions de société;38
186;Banques, assurances, secteur financier;39
187;Commerce extérieur;40
188;Economie;40
189;Education, enseignement supérieur, formation;40
190;Environnement;40
191;Logement, aménagement du territoire, urbanisme;40
192;Banques, assurances, secteur financier;41
193;Travail, emploi, solidarité;41
194;Santé, sécurité sociale;41
195;Agriculture, alimentation, pêche;42
196;Concurrence, consommation;42
197;Economie;42
198;Fiscalité, finances publiques;42
199;Gouvernance d’entreprise;42
200;Logement, aménagement du territoire, urbanisme;42
201;Numérique;42
202;Propriété intellectuelle;42
203;Economie;43
204;Fiscalité, finances publiques;43
205;Environnement;43
206;Pouvoirs publics, institutions, fonction publique;43
207;Transports, logistique;43
208;Economie;44
209;Travail, emploi, solidarité;44
210;Energie;44
211;Environnement;44
212;Logement, aménagement du territoire, urbanisme;44
213;Pouvoirs publics, institutions, fonction publique;44
214;Santé, sécurité sociale;44
215;Transports, logistique;44
216;Défense, sécurité;45
217;Energie;45
218;Recherche, innovation;45
219;Environnement;45
220;Justice;45
221;Energie;46
222;Outre-mer;46
223;Concurrence, consommation;47
224;Economie;47
225;Agriculture, alimentation, pêche;48
226;Economie;48
227;Travail, emploi, solidarité;48
228;Fiscalité, finances publiques;48
229;Environnement;48
230;Santé, sécurité sociale;49
231;Affaires étrangères, coopération internationale;50
232;Environnement;50
233;Questions migratoires;50
234;Santé, sécurité sociale;50
235;Concurrence, consommation;51
236;Economie;51
237;Travail, emploi, solidarité;51
238;Fiscalité, finances publiques;51
239;Environnement;51
240;Economie;52
241;Santé, sécurité sociale;52
242;Banques, assurances, secteur financier;53
243;Economie;53
244;Gouvernance d’entreprise;53
245;Education, enseignement supérieur, formation;54
246;Recherche, innovation;54
247;Professions réglementées;54
248;Santé, sécurité sociale;54
249;Questions de société;54
250;Energie;55
251;Recherche, innovation;55
252;Environnement;55
253;Logement, aménagement du territoire, urbanisme;55
254;Propriété intellectuelle;56
255;Education, enseignement supérieur, formation;57
256;Fiscalité, finances publiques;57
257;Sports, loisirs, tourisme;57
258;Banques, assurances, secteur financier;58
259;Economie;58
260;Fiscalité, finances publiques;58
261;Logement, aménagement du territoire, urbanisme;58
262;Professions réglementées;58
263;Agriculture, alimentation, pêche;59
264;Concurrence, consommation;59
265;Economie;59
266;Travail, emploi, solidarité;59
267;Environnement;59
268;Santé, sécurité sociale;60
269;Arts, patrimoine culturel;61
270;Commerce extérieur;61
271;Economie;61
272;Travail, emploi, solidarité;61
273;Propriété intellectuelle;61
274;Arts, patrimoine culturel;62
275;Economie;62
276;Travail, emploi, solidarité;62
277;Fiscalité, finances publiques;62
278;Gouvernance d’entreprise;62
279;Environnement;62
280;Médias, industries culturelles;62
281;Propriété intellectuelle;62
282;Santé, sécurité sociale;62
283;Sports, loisirs, tourisme;62
284;Concurrence, consommation;63
285;Recherche, innovation;63
286;Fiscalité, finances publiques;63
287;Médias, industries culturelles;63
288;Propriété intellectuelle;63
289;Travail, emploi, solidarité;64
290;Fiscalité, finances publiques;64
291;Environnement;64
292;Logement, aménagement du territoire, urbanisme;64
293;Transports, logistique;64
294;Arts, patrimoine culturel;65
295;Concurrence, consommation;65
296;Médias, industries culturelles;65
297;Propriété intellectuelle;65
298;Sports, loisirs, tourisme;65
299;Agriculture, alimentation, pêche;66
300;Concurrence, consommation;66
301;Environnement;66
302;Education, enseignement supérieur, formation;67
303;Travail, emploi, solidarité;67
304;Recherche, innovation;67
305;Santé, sécurité sociale;67
306;Banques, assurances, secteur financier;68
307;Economie;68
308;Travail, emploi, solidarité;68
309;Fiscalité, finances publiques;68
310;Numérique;68
311;Pouvoirs publics, institutions, fonction publique;68
312;Questions de société;68
313;Médias, industries culturelles;69
314;Numérique;69
315;Propriété intellectuelle;69
316;Sports, loisirs, tourisme;69
317;Agriculture, alimentation, pêche;70
318;Economie;70
319;Travail, emploi, solidarité;70
320;Environnement;70
321;Santé, sécurité sociale;70
322;Education, enseignement supérieur, formation;71
323;Travail, emploi, solidarité;71
324;Environnement;71
325;Affaires étrangères, coopération internationale;72
326;Education, enseignement supérieur, formation;72
327;Questions migratoires;72
328;Questions de société;72
329;Agriculture, alimentation, pêche;73
330;Travail, emploi, solidarité;73
331;Environnement;73
332;Economie;74
333;Travail, emploi, solidarité;74
334;Santé, sécurité sociale;74
335;Economie;75
336;Education, enseignement supérieur, formation;75
337;Travail, emploi, solidarité;75
338;Logement, aménagement du territoire, urbanisme;75
339;Santé, sécurité sociale;75
340;Environnement;76
341;Commerce extérieur;77
342;Concurrence, consommation;77
343;Travail, emploi, solidarité;77
344;Sports, loisirs, tourisme;77
345;Transports, logistique;77
346;Education, enseignement supérieur, formation;78
347;Transports, logistique;78
348;Agriculture, alimentation, pêche;79
349;Concurrence, consommation;80
350;Economie;80
351;Travail, emploi, solidarité;80
352;Fiscalité, finances publiques;80
353;Environnement;80
354;Education, enseignement supérieur, formation;81
355;Médias, industries culturelles;81
356;Numérique;81
357;Propriété intellectuelle;81
358;Concurrence, consommation;82
359;Environnement;82
360;Transports, logistique;82
361;Agriculture, alimentation, pêche;83
362;Travail, emploi, solidarité;83
363;Environnement;83
364;Affaires étrangères, coopération internationale;84
365;Arts, patrimoine culturel;84
366;Commerce extérieur;84
367;Education, enseignement supérieur, formation;84
368;Travail, emploi, solidarité;84
369;Logement, aménagement du territoire, urbanisme;84
370;Médias, industries culturelles;84
371;Numérique;84
372;Propriété intellectuelle;84
373;Questions migratoires;84
374;Santé, sécurité sociale;84
375;Questions de société;84
376;Sports, loisirs, tourisme;84
377;Transports, logistique;85
378;Questions de société;86
379;Agriculture, alimentation, pêche;87
380;Education, enseignement supérieur, formation;87
381;Fiscalité, finances publiques;87
382;Questions migratoires;87
383;Santé, sécurité sociale;87
384;Environnement;88
385;Santé, sécurité sociale;89
386;Arts, patrimoine culturel;90
387;Energie;90
388;Fiscalité, finances publiques;90
389;Environnement;90
390;Logement, aménagement du territoire, urbanisme;90
391;Santé, sécurité sociale;90
392;Affaires étrangères, coopération internationale;91
393;Education, enseignement supérieur, formation;91
394;Questions migratoires;91
395;Recherche, innovation;92
396;Numérique;92
397;Communications électroniques;92
398;Arts, patrimoine culturel;93
399;Travail, emploi, solidarité;93
400;Fiscalité, finances publiques;93
401;Questions de société;93
402;Energie;94
403;Environnement;94
404;Logement, aménagement du territoire, urbanisme;94
405;Environnement;95
406;Médias, industries culturelles;95
